-- Medz's Given Hits Informer --
Time: 15:11:24
Date: 10/01/23
----------------------------------

[GIVE] > Name: .Echo(7) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 63.00 | Time: 13:08:06 | Date: 10/04/23
[GIVE] > Name: .Echo(7) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 21.00 | Time: 13:08:09 | Date: 10/04/23
[GIVE] > Name: .Echo(7) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 77.00 | Armor: 0.00 | Time: 13:08:10 | Date: 10/04/23
[GIVE] > Name: .Echo(7) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 35.00 | Armor: 0.00 | Time: 13:08:16 | Date: 10/04/23
[GIVE] > Name: KYL3(21) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 77.00 | Armor: 21.00 | Time: 13:09:27 | Date: 10/04/23
[GIVE] > Name: KYL3(21) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 56.00 | Armor: 0.00 | Time: 13:09:28 | Date: 10/04/23
[GIVE] > Name: KYL3(21) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 14.00 | Armor: 0.00 | Time: 13:09:50 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 100.00 | Time: 13:13:15 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 91.00 | Time: 13:13:17 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 91.00 | Time: 13:13:18 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 70.00 | Time: 13:13:18 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 70.00 | Time: 13:13:18 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 63.00 | Time: 13:13:18 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 63.00 | Time: 13:13:18 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 63.00 | Time: 13:13:18 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 63.00 | Time: 13:13:18 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 63.00 | Time: 13:13:19 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 63.00 | Time: 13:13:19 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 98.00 | Armor: 63.00 | Time: 13:13:19 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 84.00 | Armor: 0.00 | Time: 13:13:19 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 70.00 | Armor: 0.00 | Time: 13:13:19 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 56.00 | Armor: 0.00 | Time: 13:13:19 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 42.00 | Armor: 0.00 | Time: 13:13:19 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 42.00 | Armor: 0.00 | Time: 13:13:19 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 28.00 | Armor: 0.00 | Time: 13:13:20 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 21.00 | Armor: 0.00 | Time: 13:13:20 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 14.00 | Armor: 0.00 | Time: 13:13:20 | Date: 10/04/23
[GIVE] > Name: Bombshell(18) | Class: Dead | Weapon: M4 | Damage: 9.90 | Health: 0.00 | Armor: 0.00 | Time: 13:13:20 | Date: 10/04/23
[GIVE] > Name: weakshit(10) | Class: Highly Wanted | Weapon: MP5 | Damage: 8.25 | Health: 70.00 | Armor: 0.00 | Time: 16:04:24 | Date: 10/30/23
[GIVE] > Name: weakshit(10) | Class: Highly Wanted | Weapon: MP5 | Damage: 8.25 | Health: 63.00 | Armor: 0.00 | Time: 16:04:25 | Date: 10/30/23
[GIVE] > Name: weakshit(10) | Class: Highly Wanted | Weapon: MP5 | Damage: 8.25 | Health: 56.00 | Armor: 0.00 | Time: 16:04:25 | Date: 10/30/23
[GIVE] > Name: weakshit(10) | Class: Highly Wanted | Weapon: MP5 | Damage: 8.25 | Health: 49.00 | Armor: 0.00 | Time: 16:04:26 | Date: 10/30/23
[GIVE] > Name: weakshit(10) | Class: Highly Wanted | Weapon: MP5 | Damage: 8.25 | Health: 42.00 | Armor: 0.00 | Time: 16:04:26 | Date: 10/30/23
[GIVE] > Name: weakshit(10) | Class: Highly Wanted | Weapon: MP5 | Damage: 8.25 | Health: 28.00 | Armor: 0.00 | Time: 16:04:26 | Date: 10/30/23
[GIVE] > Name: weakshit(10) | Class: Highly Wanted | Weapon: MP5 | Damage: 8.25 | Health: 14.00 | Armor: 0.00 | Time: 16:04:26 | Date: 10/30/23
[GIVE] > Name: weakshit(10) | Class: Highly Wanted | Weapon: MP5 | Damage: 8.25 | Health: 7.00 | Armor: 0.00 | Time: 16:04:26 | Date: 10/30/23
[GIVE] > Name: weakshit(10) | Class: Highly Wanted | Weapon: MP5 | Damage: 8.25 | Health: 7.00 | Armor: 0.00 | Time: 16:04:26 | Date: 10/30/23
[GIVE] > Name: Wood_fox(20) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 98.00 | Time: 14:07:34 | Date: 11/25/23
[GIVE] > Name: Wood_fox(20) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 56.00 | Time: 14:07:51 | Date: 11/25/23
[GIVE] > Name: Wood_fox(20) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 21.00 | Time: 14:08:15 | Date: 11/25/23
[GIVE] > Name: Wood_fox(20) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 49.00 | Armor: 0.00 | Time: 14:08:40 | Date: 11/25/23
[GIVE] > Name: Wood_fox(20) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 7.00 | Armor: 0.00 | Time: 14:08:43 | Date: 11/25/23
[GIVE] > Name: mr.buktot(9) | Class: Most Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 70.00 | Time: 14:09:53 | Date: 11/25/23
[GIVE] > Name: mr.buktot(9) | Class: Most Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 35.00 | Time: 14:09:54 | Date: 11/25/23
